User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Danielle Richardson","Charlotte Harris",Carer,"2021-10-15 11:38:08",702,Incoming,17
"Danielle Richardson","Laura White",Carer,"2021-09-02 03:35:06",27,Outgoing,23
"Danielle Richardson","Imogen Bell",Nurse,"2021-08-23 10:42:17",27,Incoming,34
"Danielle Richardson","Elliott Kelly",Nurse,"2021-09-18 04:15:14",589,Outgoing,75
"Danielle Richardson","Tony Ross",Nurse,"2021-09-20 06:12:31",307,Outgoing,62
"Danielle Richardson","Jackson Jones",Carer,"2021-09-11 08:54:47",84,Outgoing,57
"Danielle Richardson","Gordon Kelly",Nurse,"2021-10-07 04:55:24",526,Incoming,0
"Danielle Richardson","Alexa Watson",Carer,"2021-10-11 02:40:39",297,Incoming,76
"Danielle Richardson","Muhammad Gray",Carer,"2021-09-02 05:14:06",951,Incoming,32
"Danielle Richardson","Reece Gray",Nurse,"2021-09-25 08:53:56",428,Incoming,58
"Danielle Richardson","Charlotte Harris",Carer,"2021-09-12 08:36:37",402,Outgoing,67
"Danielle Richardson","Benjamin Murphy",Carer,"2021-08-17 07:21:21",711,Incoming,9
"Danielle Richardson","Harvey Edwards",Nurse,"2021-10-10 06:30:04",451,Outgoing,1
"Danielle Richardson","Poppy Johnson",Carer,"2021-09-11 03:17:26",713,Incoming,23
"Danielle Richardson","Mary Taylor",Nurse,"2021-10-12 04:50:03",963,Incoming,91
"Danielle Richardson","Poppy Johnson",Carer,"2021-08-31 11:06:55",271,Incoming,56
"Danielle Richardson","Alexandra Hughes",Nurse,"2021-10-13 09:15:37",299,Incoming,81
"Danielle Richardson","Muhammad Gray",Carer,"2021-09-28 09:30:31",232,Incoming,57
"Danielle Richardson","Summer Wright",Carer,"2021-08-29 11:13:38",132,Outgoing,48
"Danielle Richardson","Nathan Bell",Nurse,"2021-09-30 01:00:24",496,Outgoing,49
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-09-19 10:07:04",102,Incoming,29
"Danielle Richardson","Paula Stevens",Carer,"2021-08-18 01:26:19",814,Outgoing,19
"Danielle Richardson","Dale Carter",Carer,"2021-08-16 07:09:41",43,Incoming,42
